fips,0-4,5-17,18-49,50-64,65+
20001,723,2044,4611,2519,2594
20003,541,1522,2523,1612,1621
20005,874,2708,6821,2945,2863
20007,246,789,1307,848,963
20009,1607,4536,9180,4755,5197
20011,886,2715,5352,2638,2793
20013,572,1808,3114,1893,2028
20015,3844,13115,27295,12864,10798
20017,127,414,942,476,620
20019,176,579,1085,724,806
20021,1156,3208,6825,4266,3781
20023,167,442,886,463,670
20025,126,360,565,464,472
20027,481,1387,2731,1487,1985
20029,629,1507,3309,1643,1885
20031,366,1423,2957,1732,1826
20033,44,264,527,363,487
20035,1872,6293,13632,6221,6469
20037,2238,6401,17626,6618,6080
20039,146,401,797,598,804
20041,971,3245,6550,3847,3810
20043,386,1139,3007,1503,1457
20045,5388,15912,64690,17630,15927
20047,148,505,907,630,627
20049,115,457,672,526,694
20051,1467,4402,14113,4409,4479
20053,264,858,2535,1198,1511
20055,2938,8489,15900,6295,4379
20057,3050,7467,14097,5674,3845
20059,1399,4653,10006,5378,4558
20061,4170,7183,18040,3394,3108
20063,210,509,915,506,656
20065,109,394,783,498,622
20067,571,1660,2746,1345,962
20069,405,1258,2166,954,913
20071,106,292,451,206,241
20073,274,1004,1824,1304,1550
20075,158,621,1021,355,330
20077,350,1053,1832,1010,1201
20079,1935,6139,12551,6142,7056
20081,256,748,1425,684,582
20083,65,347,481,432,351
20085,851,2424,4680,2722,2600
20087,927,3164,6451,4285,3564
20089,164,458,830,567,890
20091,36710,109686,259632,113468,95268
20093,277,888,1371,729,645
20095,410,1189,2619,1630,1436
20097,148,407,880,446,541
20099,1324,3550,6853,4220,4002
20101,78,274,438,353,354
20103,5074,14495,34327,15784,12813
20105,134,487,946,629,728
20107,475,1668,3255,2160,2165
20109,187,453,996,511,573
20111,1891,5280,14606,5293,5075
20113,1529,5038,12171,5448,5944
20115,580,1924,4126,2400,2765
20117,651,1793,3360,1959,2238
20119,279,772,1455,783,660
20121,1853,6429,12784,7503,6056
20123,329,1006,2005,1115,1312
20125,1802,5701,11198,6235,6207
20127,276,832,1618,1255,1407
20129,101,549,979,481,537
20131,731,2096,3457,1929,2000
20133,952,2836,5707,3014,3206
20135,96,440,871,597,655
20137,294,806,2141,1056,1095
20139,817,2864,5446,3403,3250
20141,215,535,1075,734,914
20143,328,1006,2053,1205,1190
20145,235,660,2597,1352,1376
20147,307,814,1574,979,1200
20149,1905,5594,9989,4431,3889
20151,555,1726,3384,1487,1968
20153,167,404,785,477,700
20155,3289,10442,23609,11818,12535
20157,263,824,1409,936,1230
20159,538,1663,3653,1698,1837
20161,3565,8077,45119,7934,7015
20163,262,763,1613,1091,1140
20165,217,382,1047,564,747
20167,359,1131,2182,1312,1733
20169,3192,9122,20656,10879,9952
20171,268,1064,1945,765,1029
20173,33680,98499,219019,92524,81088
20175,1854,4833,9367,3341,2245
20177,10316,31225,68865,34090,33819
20179,147,475,795,459,566
20181,429,992,2185,1100,1213
20183,180,543,1067,759,1030
20185,228,751,1319,832,874
20187,134,400,808,403,273
20189,316,1191,2004,810,891
20191,1250,4166,8099,4593,4278
20193,543,1372,3309,1274,1415
20195,176,367,896,604,735
20197,370,1226,2395,1508,1462
20199,107,230,441,306,375
20201,372,952,1788,1112,1295
20203,197,352,745,338,483
20205,508,1532,2878,1712,1929
20207,138,454,970,727,829
20209,12354,33834,70921,28351,21817
